mol,pic50,smiles
CHEMBL1271590,8.096910013,CCN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1
CHEMBL1271591,7.113509275,Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(NC4CCNC4)ccc3OC(F)(F)F)ncc1CC2
CHEMBL1271644,8.698970004,Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCNCC4)ccc3OC(F)(F)F)ncc1CC2
CHEMBL1271645,6.896196279,Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CC[N+](C)([O-])CC4)ccc3OC(F)(F)F)ncc1CC2
CHEMBL1271694,5.571541226,Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc([N+]4([O-])CC[N+](C)([O-])CC4)ccc3OC(F)(F)F)ncc1CC2
CHEMBL1272089,6.931814138,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3OC(F)(F)F)ncc1CC2
CHEMBL1272140,8.698970004,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1
CHEMBL1272195,7.602059991,CN1CCCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1
CHEMBL1272250,7.48148606,Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCC(N5CCCC5)CC4)ccc3OC(F)(F)F)ncc1CC2
CHEMBL1272300,6.698970004,CN1CCC(Nc2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1
CHEMBL1276848,4.71219827,COc1cc(-c2cnc(N)c(N3CC[C@@H](C(=O)O)[C@@H](C)[C@H]3C)n2)cc(OC)c1OC
CHEMBL1277019,5.070581074,CCc1ccsc1-c1cnc(N)c(N2CCC(C(=O)O)CC2)n1
CHEMBL1288582,4.522878745,COc1ccc2cc(-c3n[nH]c4cccnc34)[nH]c2c1
CHEMBL1289926,5,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
CHEMBL1290072,3.567030709,COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1
CHEMBL1290746,4.823908741,Cc1ccc(C(=O)Nc2ccon2)cc1NC(=O)c1cnn(-c2ccccc2F)c1N
CHEMBL1614712,5,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1
CHEMBL1614933,8.045757491,CN1CCC(Oc2ccc3ncn(-c4cc(OCc5ccccc5C(F)(F)F)c(C(N)=O)s4)c3c2)CC1
CHEMBL1615277,4.289882635,C[C@@H](Oc1cc(-n2cnc3cc(OC4CCN(C)CC4)ccc32)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1615278,8.698970004,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1630107,4.920818754,O=C(/C=C/c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1)NO
CHEMBL1630108,5.568636236,O=C(/C=C/c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)s1)NO
CHEMBL1630109,5.167491087,O=C(/C=C/c1cccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1)NO
CHEMBL1630110,5.040958608,O=C(/C=C/c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1)NO
CHEMBL1630111,5.408935393,Nc1ccccc1NC(=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CHEMBL1630112,5.251811973,Nc1ccccc1NC(=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)s1
CHEMBL1630113,5.070581074,Nc1ccccc1NC(=O)/C=C/c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CHEMBL1630114,5.259637311,Nc1ccccc1NC(=O)/C=C/c1cccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)c1
CHEMBL1630115,5.207608311,Nc1ccccc1NC(=O)/C=C/c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1
CHEMBL1630116,4.568636236,Nc1ccccc1NC(=O)CCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1
CHEMBL1630117,5.698970004,O=C(NO)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CHEMBL1630118,5.537602002,O=C(NO)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)s1
CHEMBL1672002,5.661543506,CC1=CC(=O)C(C(C)C)=CC1=O
CHEMBL1684800,6.776244546,COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1
CHEMBL1689158,8.045757491,CC(Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1689159,7.161150909,CN1CCC(Oc2ccc3ncn(-c4cc(OCc5ccccc5)c(C(N)=O)s4)c3c2)CC1
CHEMBL1689160,7.180456064,CC(Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1
CHEMBL1689161,5.876148359,COc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)sc1C(N)=O
CHEMBL1689162,5.274905479,COc1cc(-n2cnc3ccccc32)sc1C(N)=O
CHEMBL1689163,8.045757491,CC(Oc1cc(-n2cnc3ccccc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1689164,6.721246399,CC(Oc1cc(-n2cnc3ccc(OC4CCN(C)CC4)cc32)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1689165,4.056011125,CC(Oc1cc(-n2cnc3cc(OC4CCN(C)CC4)ccc32)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1689168,4.818156412,CC(Oc1cc(-n2cnc3cc(OCCCN(C)C)ccc32)ccc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1738758,8.602059991,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1
CHEMBL1774327,8.259637311,CN1CC=C(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1
CHEMBL1774328,8.22184875,CN1CCC(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)cn3C)CC4)c2)CC1
